ID,region,type.of.place.of.residence,wealth.index.combined,sex.of.household.member,age.of.household.members,highest.educational.level.attained,current.marital.status,group
331,free state,urban,richest,male,21,secondary,never married,2
332,kwazulu-natal,rural,poorer,male,40,primary,never married,2
333,kwazulu-natal,rural,poorer,male,57,secondary,never married,4
334,kwazulu-natal,rural,middle,female,41,secondary,never married,4
335,kwazulu-natal,rural,richest,male,58,higher,married,3
336,kwazulu-natal,rural,richest,female,61,higher,married,4
337,kwazulu-natal,rural,richest,male,34,secondary,married,2
338,kwazulu-natal,rural,poorest,female,37,secondary,never married,3
339,kwazulu-natal,rural,poorest,female,55,"no education, preschool",widowed,4
340,kwazulu-natal,rural,poorer,female,29,secondary,never married,4
341,eastern cape,urban,middle,male,60,"no education, preschool",widowed,4
342,eastern cape,urban,richer,male,63,primary,married,4
343,eastern cape,urban,richer,female,51,secondary,married,4
344,eastern cape,urban,middle,female,18,secondary,never married,1
345,eastern cape,urban,middle,female,61,"no education, preschool",widowed,4
346,eastern cape,urban,middle,female,28,secondary,married,1
347,eastern cape,urban,richer,female,48,secondary,married,4
348,eastern cape,urban,richer,female,16,secondary,never married,1
349,eastern cape,urban,richer,male,15,secondary,never married,2
350,eastern cape,urban,richer,male,35,secondary,married,4
351,eastern cape,urban,richer,female,28,primary,married,3
352,eastern cape,urban,richest,female,57,secondary,divorced/separated,1
353,eastern cape,urban,richest,male,25,secondary,never married,2
354,northern cape,urban,richer,female,66,primary,widowed,4
355,northern cape,urban,richer,male,32,secondary,never married,3
356,northern cape,urban,richer,female,22,secondary,never married,3
357,northern cape,urban,richer,female,42,secondary,never married,4
358,limpopo,rural,richer,female,67,higher,married,1
359,limpopo,rural,middle,male,46,secondary,married,2
360,limpopo,rural,middle,male,15,secondary,never married,2
361,limpopo,rural,middle,male,24,secondary,never married,2
362,limpopo,rural,poorer,female,48,secondary,widowed,3
363,limpopo,rural,richer,female,39,secondary,never married,1
364,free state,urban,richest,male,29,secondary,married,2
365,free state,urban,richest,female,25,secondary,married,2
366,free state,urban,richest,female,39,secondary,married,3
367,free state,urban,richest,male,41,secondary,married,3
368,free state,urban,richest,male,26,secondary,never married,2
369,free state,urban,richer,female,63,secondary,widowed,4
370,mpumalanga,urban,richer,female,56,primary,never married,1
371,mpumalanga,urban,richer,female,37,secondary,never married,1
372,mpumalanga,urban,poorer,female,31,secondary,never married,2
373,mpumalanga,urban,middle,male,47,primary,never married,1
374,mpumalanga,urban,middle,female,69,"no education, preschool",widowed,1
375,mpumalanga,urban,middle,female,41,primary,never married,3
376,mpumalanga,urban,poorer,female,26,higher,never married,1
377,mpumalanga,urban,poorer,male,22,higher,never married,2
378,mpumalanga,urban,poorer,female,19,secondary,never married,3
379,mpumalanga,urban,middle,male,29,secondary,never married,2
380,mpumalanga,urban,middle,female,23,secondary,never married,1
381,mpumalanga,urban,middle,male,18,secondary,never married,2
382,mpumalanga,urban,middle,female,66,"no education, preschool",married,3
383,mpumalanga,urban,middle,female,23,primary,never married,1
384,mpumalanga,urban,middle,female,25,secondary,never married,1
385,mpumalanga,urban,poorest,female,33,secondary,never married,1
386,kwazulu-natal,urban,richer,female,50,"no education, preschool",never married,1
387,kwazulu-natal,urban,richer,male,30,secondary,never married,2
388,kwazulu-natal,urban,richer,female,19,secondary,never married,2
389,kwazulu-natal,urban,richer,female,34,secondary,never married,1
390,kwazulu-natal,urban,richer,female,18,secondary,never married,4
391,kwazulu-natal,urban,richer,female,16,secondary,never married,1
392,kwazulu-natal,urban,richer,female,32,secondary,never married,3
393,kwazulu-natal,urban,richer,female,23,secondary,never married,1
394,kwazulu-natal,urban,richer,male,19,secondary,never married,2
395,kwazulu-natal,urban,richer,female,18,secondary,never married,1
396,kwazulu-natal,urban,richer,male,51,"no education, preschool",never married,2
397,kwazulu-natal,urban,middle,female,59,primary,married,3
398,kwazulu-natal,urban,richest,male,58,"no education, preschool",married,3
399,kwazulu-natal,urban,richest,female,53,secondary,married,3
400,kwazulu-natal,urban,richest,female,21,secondary,never married,1
401,kwazulu-natal,urban,richer,female,41,higher,never married,3
402,kwazulu-natal,urban,richer,male,39,secondary,married,2
403,kwazulu-natal,urban,richer,female,37,secondary,married,4
404,limpopo,rural,poorer,male,27,secondary,married,2
405,limpopo,rural,poorer,female,25,secondary,married,1
406,limpopo,rural,middle,female,42,higher,never married,3
407,limpopo,rural,middle,female,23,secondary,never married,1
408,limpopo,rural,poorer,female,84,"no education, preschool",widowed,1
409,limpopo,rural,poorer,female,31,secondary,never married,1
410,limpopo,rural,poorer,female,63,primary,divorced/separated,5
411,limpopo,rural,poorer,female,74,secondary,widowed,1
412,limpopo,rural,poorer,male,36,secondary,married,2
413,limpopo,rural,poorer,male,32,secondary,never married,2
414,limpopo,rural,poorer,male,25,secondary,never married,2
415,limpopo,rural,poorer,male,18,secondary,never married,2
416,limpopo,rural,poorer,female,27,secondary,never married,2
417,limpopo,rural,middle,male,48,secondary,never married,4
418,limpopo,rural,middle,female,50,primary,married,1
419,limpopo,rural,poorer,female,32,secondary,never married,1
420,limpopo,rural,poorer,male,22,secondary,never married,2
421,limpopo,rural,poorer,male,16,secondary,never married,1
422,limpopo,rural,poorest,female,18,secondary,never married,2
423,western cape,rural,richer,female,42,secondary,married,3
424,western cape,rural,richer,male,15,primary,never married,1
425,western cape,rural,richest,female,47,secondary,married,3
426,western cape,rural,richer,female,62,primary,married,4
427,western cape,rural,richer,female,27,secondary,never married,2
428,western cape,rural,middle,male,38,secondary,married,2
429,western cape,rural,middle,male,19,secondary,never married,2
430,mpumalanga,rural,poorest,male,51,"no education, preschool",married,4
431,mpumalanga,rural,poorest,female,26,secondary,married,1
432,mpumalanga,rural,poorest,male,44,"no education, preschool",never married,2
433,mpumalanga,rural,poorest,male,33,primary,never married,4
434,mpumalanga,rural,middle,female,43,secondary,married,3
435,mpumalanga,rural,poorest,male,63,"no education, preschool",widowed,2
436,mpumalanga,rural,poorer,female,24,secondary,married,1
437,mpumalanga,rural,poorest,female,28,higher,married,1
438,mpumalanga,rural,poorest,male,39,primary,married,1
439,mpumalanga,rural,poorest,female,33,secondary,married,1
440,free state,urban,richest,male,65,secondary,married,3
441,free state,urban,richest,female,63,secondary,married,3
442,kwazulu-natal,rural,poorer,female,45,primary,never married,1
443,kwazulu-natal,rural,poorer,male,24,secondary,never married,1
444,kwazulu-natal,rural,poorer,male,41,secondary,married,2
445,kwazulu-natal,rural,poorest,male,60,primary,married,4
446,kwazulu-natal,rural,poorest,female,23,secondary,never married,4
447,kwazulu-natal,rural,poorest,female,46,"no education, preschool",never married,3
448,kwazulu-natal,rural,poorest,female,16,secondary,never married,1
449,kwazulu-natal,rural,poorest,male,48,"no education, preschool",married,1
450,kwazulu-natal,rural,poorest,female,37,secondary,married,1
451,gauteng,rural,middle,female,57,secondary,widowed,4
452,gauteng,rural,middle,female,62,primary,married,3
453,gauteng,rural,middle,female,37,secondary,never married,1
454,gauteng,rural,middle,female,24,secondary,never married,1
455,gauteng,rural,middle,female,20,secondary,never married,1
456,gauteng,rural,middle,female,45,secondary,married,3
457,gauteng,rural,middle,female,37,secondary,never married,1
458,gauteng,rural,poorer,female,81,primary,widowed,4
459,gauteng,rural,poorer,male,31,secondary,never married,2
460,gauteng,rural,poorer,female,22,secondary,never married,1
461,gauteng,rural,poorer,male,22,secondary,never married,2
462,gauteng,rural,middle,male,63,primary,married,2
463,gauteng,rural,middle,female,54,secondary,married,3
464,gauteng,rural,middle,female,22,secondary,never married,1
465,gauteng,rural,middle,male,16,secondary,never married,2
466,gauteng,rural,richest,female,70,secondary,widowed,3
467,gauteng,rural,richest,female,40,secondary,married,3
468,gauteng,rural,richest,female,26,secondary,never married,1
469,gauteng,rural,richest,female,15,secondary,never married,2
470,limpopo,rural,middle,male,56,secondary,divorced/separated,5
471,limpopo,rural,poorer,female,18,secondary,never married,3
472,limpopo,rural,middle,female,25,secondary,never married,1
473,limpopo,rural,middle,female,20,secondary,never married,1
474,limpopo,rural,poorer,female,25,secondary,never married,1
475,limpopo,rural,poorer,female,40,secondary,married,1
476,north west,urban,poorer,male,34,secondary,married,2
477,north west,urban,middle,male,26,secondary,never married,2
478,north west,urban,richer,female,73,secondary,divorced/separated,1
479,north west,urban,richest,female,52,secondary,widowed,3
480,north west,urban,middle,female,36,secondary,married,3
481,north west,urban,richer,male,66,higher,divorced/separated,2
482,north west,urban,poorer,male,37,secondary,married,2
483,north west,urban,poorer,female,21,secondary,married,1
484,north west,urban,poorer,male,42,secondary,married,2
485,western cape,urban,poorest,female,33,secondary,never married,3
486,western cape,urban,poorer,male,41,secondary,married,2
487,western cape,urban,poorer,female,34,secondary,married,1
488,mpumalanga,rural,poorer,female,53,primary,never married,4
489,mpumalanga,rural,poorer,female,19,secondary,never married,1
490,mpumalanga,rural,middle,female,61,"no education, preschool",married,3
491,mpumalanga,rural,middle,male,34,secondary,never married,2
492,mpumalanga,rural,poorer,female,65,primary,never married,3
493,mpumalanga,rural,poorer,female,31,secondary,never married,1
494,mpumalanga,rural,poorer,male,16,secondary,never married,2
495,mpumalanga,rural,richer,female,49,secondary,married,4
496,mpumalanga,rural,poorer,male,18,secondary,never married,2
497,mpumalanga,rural,poorer,female,53,secondary,married,4
498,kwazulu-natal,urban,richest,male,26,higher,never married,3
499,kwazulu-natal,urban,richest,male,19,secondary,never married,2
500,kwazulu-natal,urban,richer,male,26,secondary,never married,2
501,kwazulu-natal,urban,richer,female,31,secondary,never married,3
502,free state,urban,richer,male,40,secondary,married,3
503,free state,urban,richer,female,41,secondary,married,1
504,free state,urban,richer,male,36,secondary,married,1
505,free state,urban,middle,female,49,primary,widowed,1
506,free state,urban,middle,male,28,secondary,married,1
507,free state,urban,middle,female,23,secondary,married,1
508,free state,urban,middle,male,66,"no education, preschool",widowed,1
509,free state,urban,middle,female,26,secondary,never married,1
510,free state,urban,middle,male,23,secondary,never married,3
